Symbol,Prob (AI),Score (Kimi),Price,RSI,Turnover (M),sma50,r_s,r_m,r_l,Verdict,Status
360ONE,0.453,43.84,1138.4,58.4,1692.8,1150.6760034179688,-2.375435361616951,-0.13159048757552805,-0.2191252473049854,PENDING,PENDING
3MINDIA,0.452,59.84,37580.0,75.4,142.9,34956.4,5.074793792814214,11.24925991711072,10.092280650358877,PENDING,PENDING
ABB,0.393,59.64,5825.5,86.0,2009.9,5203.26,1.2250217202432578,15.50510558144147,15.402139461172748,PENDING,PENDING
ACC,0.453,44.85,1698.0,46.6,278.9,1734.6579956054688,0.3486806039353141,0.8133913658321612,-0.5097528224513814,PENDING,PENDING
ACMESOLAR,0.486,50.13,228.74,63.5,165.4,224.2898385620117,0.0925228058667793,5.815132786452271,2.517293252210573,PENDING,PENDING
AIAENG,0.488,47.56,4026.2,65.9,219.6,3901.6279931640624,-1.523787423948264,3.045659333720785,1.8337253938177867,PENDING,PENDING
APLAPOLLO,0.417,64.79,2280.8,90.8,2069.4,1927.2919970703124,4.902957411934139,9.076998987476092,19.739604701885828,PENDING,PENDING
AUBANK,0.487,48.12,990.25,48.4,2316.4,984.8609997558593,0.9480592973381885,2.8991557252417532,-1.7414157576447598,PENDING,PENDING
AWL,0.516,48.59,209.59,51.4,311.8,228.4720004272461,-3.361309655475564,-0.09533197704495455,-4.65381250362692,PENDING,PENDING
AADHARHFC,0.472,47.28,472.6,51.6,171.1,481.57799865722666,0.0,-0.620330515230183,-1.1917168795581135,PENDING,PENDING
AARTIIND,0.487,73.31,467.15,88.4,750.5,377.09200073242187,5.475276661590511,31.36951233923668,30.50704790206684,PENDING,PENDING
AAVAS,0.509,41.63,1309.9,39.5,495.4,1456.6139990234376,-7.766506868754552,-12.26389655632535,-9.774074916762988,PENDING,PENDING
ABBOTINDIA,0.472,43.74,26915.0,42.0,174.3,27996.3,-0.682656826568262,-2.51720391162622,-5.1620859760394655,PENDING,PENDING
ACE,0.417,31.04,912.55,78.7,197.7,909.6090051269531,4.231866109990712,9.747442909557268,2.6663681001293904,PENDING,PENDING
ADANIENSOL,0.441,64.35,1033.8,65.0,1914.6,973.382998046875,4.619746322541607,17.210889889810097,7.620245169956141,PENDING,PENDING
ADANIENT,0.448,47.24,2234.4,63.3,4063.7,2185.5699951171873,0.2782493181823442,12.016842484557767,2.8918678330912773,PENDING,PENDING
ADANIGREEN,0.451,55.34,994.75,63.9,3833.8,967.8139978027343,4.222325661642645,20.8834573444449,5.577370739984855,PENDING,PENDING
ADANIPORTS,0.466,58.15,1553.4,68.4,4594.7,1471.9479956054688,-0.9248038633980382,12.410449162030911,7.613441247943364,PENDING,PENDING
ADANIPOWER,0.483,57.1,150.91,64.8,3108.3,143.1370001220703,-2.8205227724834803,12.01751951804335,5.872043475668409,PENDING,PENDING
ATGL,0.442,42.08,542.25,56.2,342.2,561.9020031738281,-1.211518330894823,2.3402897018820923,-2.6917900403768513,PENDING,PENDING
ABCAPITAL,0.472,47.26,344.25,48.5,1928.9,352.26999938964843,-0.6780167519136682,-1.1627872336808953,-3.096410978184372,PENDING,PENDING
ABFRL,0.475,37.3,70.89,60.3,856.4,72.9929995727539,2.9779244055965437,8.543870830876266,-4.6023392293192185,PENDING,PENDING
ABLBL,0.502,46.81,115.24,51.9,286.2,119.48540008544921,-0.9965667069613326,11.235520811861832,-1.915056635381751,PENDING,PENDING
ABREL,0.468,50.55,1442.4,58.4,418.2,1554.2400024414062,18.345911275678773,10.461017803493533,-8.08640925671449,PENDING,PENDING
ABSLAMC,0.451,49.02,860.85,73.8,265.1,788.8810034179687,4.554563807852552,10.351237344847775,7.50546057894943,PENDING,PENDING
AEGISLOG,0.469,37.36,716.35,65.0,354.2,721.7200012207031,2.3869006773580503,1.5451078305045662,-3.580326560877878,PENDING,PENDING
AEGISVOPAK,0.43,31.67,219.12,61.2,365.7,236.59660064697266,-4.1721369684831755,3.0522457251279445,-3.300975633209413,PENDING,PENDING
AFCONS,0.473,33.29,342.1,49.4,149.6,369.69200012207034,-0.4944682227495667,1.543488364867418,-3.7964003847823724,PENDING,PENDING
AFFLE,0.493,44.58,1650.3,55.5,272.5,1687.876005859375,-0.23575761448833,5.6800765003153675,-4.435692541722435,PENDING,PENDING
AJANTPHARM,0.452,52.03,2907.8,74.0,268.3,2729.510009765625,3.0659624464944635,6.971268682487586,5.179770893203539,PENDING,PENDING
AKUMS,0.391,57.01,470.85,93.2,43.8,437.86999938964846,4.586848808655319,9.372823717425227,5.856569025508107,PENDING,PENDING
AKZOINDIA,0.481,44.73,3001.1,54.8,111.8,3155.7240087890623,3.729439662152312,6.113434321103539,-4.371792022343657,PENDING,PENDING
APLLTD,0.459,26.95,804.35,71.5,43.3,824.8500048828125,0.751550095006448,5.322765841188226,0.934866475547258,PENDING,PENDING
ALKEM,0.46,51.28,5890.0,64.4,720.5,5667.69,4.183249314583892,2.927042376583655,1.5692360751853762,PENDING,PENDING
